age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,ID,y
30,blue-collar,single,unknown,no,0,yes,no,unknown,19,may,199,1,-1,0,unknown,4206,no
53,technician,divorced,primary,no,7290,yes,no,unknown,30,may,153,1,-1,0,unknown,7672,no
45,management,married,tertiary,no,6945,no,no,cellular,5,aug,131,5,356,3,failure,40653,no
45,management,married,tertiary,no,-642,no,no,cellular,5,aug,124,4,-1,0,unknown,19094,no
76,management,married,unknown,no,1780,yes,no,telephone,23,apr,413,3,-1,0,unknown,33781,yes
52,blue-collar,married,secondary,no,7180,yes,no,cellular,13,may,276,1,364,1,success,37164,no
53,admin.,married,tertiary,no,944,yes,no,cellular,24,feb,128,1,-1,0,unknown,43126,no
49,unemployed,single,tertiary,no,631,no,no,cellular,9,feb,140,6,12,1,other,30964,no
47,blue-collar,married,primary,no,0,no,no,cellular,22,aug,98,3,-1,0,unknown,22609,no
59,retired,married,secondary,yes,49,no,yes,unknown,1,jul,602,4,-1,0,unknown,12444,no
57,entrepreneur,married,unknown,no,657,no,no,unknown,12,jun,344,1,-1,0,unknown,10340,no
38,admin.,single,secondary,no,221,yes,no,unknown,6,may,211,2,-1,0,unknown,652,no
50,technician,divorced,secondary,no,148,yes,no,cellular,17,apr,413,2,-1,0,unknown,32926,no
36,services,married,secondary,no,1024,yes,no,unknown,18,jun,111,2,-1,0,unknown,11287,no
51,blue-collar,married,primary,no,3170,yes,no,unknown,29,may,51,1,-1,0,unknown,7281,no
39,blue-collar,married,primary,no,245,yes,no,unknown,7,may,148,3,-1,0,unknown,770,no
31,management,married,tertiary,no,156,no,no,cellular,20,aug,77,2,-1,0,unknown,21955,no
39,management,married,tertiary,no,351,yes,no,unknown,20,may,999,3,-1,0,unknown,4648,no
50,blue-collar,married,secondary,no,372,yes,no,telephone,11,may,21,1,-1,0,unknown,36200,no
30,self-employed,single,secondary,no,192,no,no,cellular,22,jul,423,1,-1,0,unknown,16002,no
34,management,married,tertiary,no,2599,no,no,cellular,16,nov,95,1,200,2,success,42290,no
45,blue-collar,married,secondary,no,103,no,no,unknown,18,jun,48,1,-1,0,unknown,11104,no
39,management,divorced,tertiary,no,3575,no,yes,cellular,18,aug,74,3,-1,0,unknown,21367,no
38,blue-collar,single,unknown,no,10,yes,no,unknown,3,jun,266,10,-1,0,unknown,8651,no
36,management,married,tertiary,no,2326,yes,no,cellular,20,nov,7,5,-1,0,unknown,26336,no
49,housemaid,married,primary,no,640,no,no,telephone,13,aug,214,4,-1,0,unknown,20748,no
48,management,single,tertiary,no,4558,no,no,cellular,14,aug,145,2,-1,0,unknown,21107,no
51,technician,married,secondary,yes,61,no,yes,telephone,30,jul,27,20,-1,0,unknown,18054,no
34,management,married,secondary,no,15,no,no,cellular,25,aug,184,7,-1,0,unknown,22815,no
46,blue-collar,married,secondary,no,125,yes,yes,unknown,8,may,119,2,-1,0,unknown,1440,no
27,technician,married,secondary,no,-147,yes,yes,unknown,21,may,239,4,-1,0,unknown,5169,no
51,management,divorced,tertiary,no,71,yes,no,cellular,14,aug,178,2,-1,0,unknown,21172,no
52,admin.,married,secondary,no,686,no,no,cellular,30,jul,544,2,-1,0,unknown,17924,no
46,technician,married,tertiary,no,217,yes,no,cellular,14,may,141,1,346,2,other,37636,no
24,student,single,secondary,no,387,no,no,telephone,4,may,340,8,-1,0,unknown,34362,yes
34,technician,single,secondary,no,4943,yes,yes,cellular,19,nov,117,2,-1,0,unknown,25885,no
59,retired,married,secondary,no,997,no,yes,cellular,11,aug,250,4,-1,0,unknown,20203,no
36,technician,single,tertiary,no,705,yes,no,unknown,16,may,111,1,-1,0,unknown,3784,no
52,retired,married,secondary,no,603,no,yes,unknown,9,jun,79,1,-1,0,unknown,9893,no
41,blue-collar,married,secondary,no,680,yes,no,unknown,15,may,173,2,-1,0,unknown,3412,no
56,technician,married,secondary,no,6619,yes,no,telephone,4,nov,465,1,-1,0,unknown,24125,yes
40,management,married,tertiary,no,432,yes,yes,cellular,2,feb,101,1,-1,0,unknown,28951,no
35,technician,married,secondary,no,353,no,no,cellular,28,aug,17,9,-1,0,unknown,23731,no
32,unemployed,single,secondary,no,331,yes,no,unknown,9,may,211,2,-1,0,unknown,1774,no
42,unemployed,married,primary,no,2636,no,no,cellular,17,nov,178,2,151,1,failure,24638,no
32,management,single,tertiary,yes,62,no,yes,cellular,24,jul,577,3,-1,0,unknown,16825,no
27,student,single,secondary,no,6036,no,no,cellular,31,mar,175,1,181,1,failure,43388,yes
29,entrepreneur,married,secondary,no,0,yes,no,unknown,19,jun,211,1,-1,0,unknown,11615,no
56,management,married,tertiary,no,3039,no,no,unknown,6,jun,420,2,-1,0,unknown,9386,no
33,blue-collar,married,secondary,no,1219,yes,no,cellular,18,may,51,3,367,4,other,38876,no
36,technician,married,secondary,no,930,no,no,cellular,14,aug,175,2,-1,0,unknown,20959,no
36,blue-collar,married,primary,no,409,yes,no,unknown,11,jun,81,3,-1,0,unknown,10058,no
35,technician,married,secondary,no,-259,yes,no,cellular,29,jan,381,1,247,2,failure,28140,no
48,entrepreneur,divorced,tertiary,no,275,no,yes,unknown,5,jun,34,1,-1,0,unknown,9191,no
40,blue-collar,married,secondary,no,306,yes,no,unknown,7,may,184,2,-1,0,unknown,888,no
37,management,single,tertiary,no,105,yes,no,cellular,8,may,349,1,-1,0,unknown,36010,no
25,blue-collar,single,unknown,no,373,yes,no,unknown,27,jun,634,2,-1,0,unknown,12379,no
36,technician,married,secondary,no,1345,yes,no,unknown,30,may,231,3,-1,0,unknown,7518,no
50,blue-collar,married,primary,no,1290,yes,no,unknown,30,may,65,14,-1,0,unknown,7678,no
56,blue-collar,married,secondary,no,385,no,no,cellular,20,aug,210,3,-1,0,unknown,22042,no
35,services,divorced,tertiary,no,877,yes,no,cellular,15,apr,61,3,-1,0,unknown,32099,no
31,entrepreneur,married,tertiary,no,5191,no,no,cellular,20,nov,187,2,-1,0,unknown,26708,no
30,management,single,tertiary,no,890,no,no,cellular,27,aug,16,18,-1,0,unknown,23334,no
54,blue-collar,married,primary,no,38,no,no,cellular,28,jul,115,8,-1,0,unknown,17218,no
36,management,single,tertiary,no,85,no,no,cellular,14,may,76,1,-1,0,unknown,37662,no
56,entrepreneur,married,tertiary,no,773,no,no,unknown,18,jun,345,1,-1,0,unknown,11234,no
33,management,married,tertiary,no,685,no,no,unknown,17,nov,53,1,-1,0,unknown,24389,no
33,management,married,secondary,no,4040,yes,no,cellular,20,apr,132,2,-1,0,unknown,33557,no
40,blue-collar,married,primary,no,968,yes,yes,unknown,8,may,213,1,-1,0,unknown,1354,no
42,blue-collar,single,tertiary,no,1736,no,no,telephone,21,jul,179,2,-1,0,unknown,15534,no
31,blue-collar,married,primary,no,591,yes,no,unknown,14,may,287,3,-1,0,unknown,2767,no
51,blue-collar,married,secondary,no,794,yes,no,telephone,24,jul,747,1,-1,0,unknown,16645,no
57,admin.,married,secondary,no,340,no,yes,cellular,31,jul,167,2,-1,0,unknown,18386,no
71,retired,married,tertiary,no,2651,no,no,cellular,24,aug,73,3,200,2,failure,41243,no
35,blue-collar,married,secondary,no,563,no,yes,cellular,4,jun,147,1,119,3,failure,40086,yes
32,technician,single,tertiary,no,388,no,no,cellular,2,aug,100,8,95,3,success,44372,no
60,retired,married,secondary,no,374,no,no,cellular,19,aug,276,2,-1,0,unknown,21524,no
26,student,single,unknown,no,598,no,no,cellular,6,mar,136,1,-1,0,unknown,31280,no
42,technician,married,secondary,yes,-197,yes,no,cellular,6,aug,66,7,-1,0,unknown,19203,no
35,technician,single,secondary,no,1467,yes,yes,cellular,7,may,381,1,-1,0,unknown,35367,no
26,blue-collar,married,secondary,no,5795,yes,no,cellular,14,may,1094,2,-1,0,unknown,38006,yes
42,technician,married,secondary,no,-887,no,no,unknown,2,jun,349,4,-1,0,unknown,8275,no
35,management,single,tertiary,no,0,no,no,cellular,29,aug,131,2,-1,0,unknown,23837,no
46,technician,married,secondary,no,138,yes,no,cellular,7,apr,226,2,-1,0,unknown,31701,no
25,entrepreneur,single,tertiary,no,347,no,no,cellular,20,aug,267,1,-1,0,unknown,41185,yes
36,self-employed,single,secondary,no,1173,yes,yes,unknown,20,jun,50,5,-1,0,unknown,11688,no
53,admin.,married,primary,no,0,yes,no,cellular,8,may,86,1,298,3,failure,35743,no
42,services,single,unknown,no,410,no,no,cellular,21,nov,34,2,-1,0,unknown,27709,no
49,technician,married,tertiary,no,523,yes,no,cellular,3,apr,203,1,31,2,success,31593,no
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,4867,yes
42,services,divorced,secondary,no,138,no,no,cellular,17,jul,324,1,-1,0,unknown,15055,no
40,blue-collar,married,secondary,no,299,yes,no,cellular,15,jul,180,4,-1,0,unknown,14615,no
33,management,single,tertiary,no,102,yes,yes,cellular,19,nov,199,1,-1,0,unknown,25494,no
55,blue-collar,married,secondary,no,660,no,no,unknown,5,jun,348,1,-1,0,unknown,9161,no
51,blue-collar,married,primary,no,0,no,no,unknown,9,jun,166,2,-1,0,unknown,9906,no
35,technician,divorced,secondary,yes,362,no,no,cellular,29,jan,329,2,240,8,other,28545,no
35,entrepreneur,married,secondary,no,10,yes,no,cellular,21,jul,314,7,-1,0,unknown,15894,no
24,admin.,single,secondary,no,290,yes,no,cellular,15,may,80,3,368,4,failure,38631,no
45,admin.,married,secondary,no,205,no,no,cellular,3,feb,373,1,92,1,success,42861,yes
43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success,40034,yes
31,admin.,married,secondary,no,184,yes,no,unknown,12,may,378,3,-1,0,unknown,2113,no
48,blue-collar,married,secondary,no,2345,yes,yes,cellular,5,may,306,2,-1,0,unknown,34668,no
37,technician,married,secondary,yes,693,no,no,unknown,12,jun,75,1,-1,0,unknown,10379,no
36,blue-collar,married,primary,no,-608,yes,no,cellular,11,jul,135,2,-1,0,unknown,14208,no
40,blue-collar,married,primary,no,254,yes,no,cellular,7,jul,107,3,-1,0,unknown,12742,no
41,blue-collar,married,secondary,no,217,yes,no,cellular,15,apr,375,2,344,1,failure,32148,no
25,admin.,single,secondary,no,845,yes,no,cellular,18,may,217,1,370,1,failure,38861,no
40,management,single,primary,no,858,yes,no,unknown,21,may,173,1,-1,0,unknown,4793,no
34,blue-collar,married,secondary,no,559,yes,no,telephone,18,nov,47,1,193,1,other,24805,no
36,unemployed,married,secondary,no,608,yes,no,cellular,2,feb,114,1,263,3,other,29223,no
46,blue-collar,married,secondary,no,6215,no,no,unknown,16,jun,155,1,-1,0,unknown,10582,no
36,unemployed,married,secondary,yes,-318,yes,no,unknown,15,may,133,2,-1,0,unknown,3439,no
25,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,41603,no
29,technician,married,tertiary,no,1489,yes,no,unknown,28,may,430,1,-1,0,unknown,6635,no
42,blue-collar,divorced,secondary,no,-580,yes,yes,cellular,13,may,172,1,-1,0,unknown,37062,no
27,management,single,tertiary,no,148,yes,no,cellular,31,jul,632,18,-1,0,unknown,18636,no
37,management,single,tertiary,no,22125,no,yes,cellular,21,nov,331,2,-1,0,unknown,27603,yes
41,technician,married,tertiary,no,744,yes,no,unknown,14,may,125,1,-1,0,unknown,3070,no
27,technician,single,tertiary,no,290,no,no,cellular,10,aug,88,1,-1,0,unknown,40743,no
56,services,divorced,primary,no,23,no,no,telephone,26,may,108,4,-1,0,unknown,39634,no
29,admin.,divorced,secondary,no,201,yes,no,unknown,4,jun,121,3,-1,0,unknown,8883,no
59,retired,married,secondary,no,5678,yes,no,unknown,14,may,238,2,-1,0,unknown,3130,no
48,blue-collar,married,secondary,no,48,yes,yes,unknown,29,may,144,1,-1,0,unknown,7090,no
44,blue-collar,married,primary,no,10,yes,no,cellular,17,jul,196,1,-1,0,unknown,15025,no
55,blue-collar,single,primary,no,1187,yes,no,unknown,2,jun,193,2,-1,0,unknown,8113,no
40,services,divorced,secondary,no,5766,yes,yes,unknown,28,may,385,1,-1,0,unknown,6600,no
39,services,single,secondary,no,230,no,yes,cellular,8,jul,106,1,-1,0,unknown,13092,no
33,student,married,secondary,no,1536,no,no,cellular,9,nov,262,1,94,2,success,42173,yes
37,blue-collar,divorced,secondary,no,614,yes,no,unknown,20,may,185,1,-1,0,unknown,4617,no
30,services,single,secondary,no,595,yes,no,cellular,17,apr,172,1,-1,0,unknown,32588,no
46,management,divorced,secondary,no,0,no,no,cellular,27,aug,763,5,-1,0,unknown,23264,yes
41,services,married,secondary,no,56,yes,no,cellular,31,jul,63,21,-1,0,unknown,18556,no
34,management,married,tertiary,no,4,yes,no,cellular,31,jul,33,39,-1,0,unknown,18617,no
36,admin.,single,secondary,no,115,no,no,cellular,4,may,134,3,91,1,failure,34328,no
45,blue-collar,married,primary,no,360,no,no,unknown,20,jun,98,2,-1,0,unknown,11675,no
34,blue-collar,married,primary,no,698,yes,no,cellular,4,may,83,5,-1,0,unknown,34378,no
34,management,divorced,tertiary,no,70,yes,no,unknown,22,jul,5,1,701,6,other,44252,no
41,admin.,divorced,secondary,no,4,yes,no,cellular,5,feb,232,1,211,1,failure,30185,no
31,entrepreneur,single,tertiary,no,627,no,no,cellular,20,nov,486,2,-1,0,unknown,26572,no
49,self-employed,single,tertiary,no,-341,no,yes,cellular,18,nov,920,2,-1,0,unknown,25363,no
45,technician,married,secondary,no,280,yes,no,cellular,4,may,562,3,168,2,other,34312,no
48,unemployed,married,secondary,no,3287,yes,yes,cellular,20,apr,242,2,307,1,failure,33568,no
33,services,married,secondary,no,-329,yes,no,cellular,9,apr,113,1,-1,0,unknown,31880,no
57,technician,divorced,secondary,no,470,no,no,cellular,5,aug,480,3,-1,0,unknown,44443,yes
34,technician,single,secondary,no,4676,no,no,cellular,11,aug,248,3,-1,0,unknown,20340,no
31,admin.,single,tertiary,no,0,yes,yes,unknown,23,may,181,1,-1,0,unknown,5324,no
38,entrepreneur,married,secondary,no,-272,no,yes,unknown,17,jun,143,2,-1,0,unknown,10747,no
48,blue-collar,married,primary,no,-83,no,no,cellular,14,aug,136,3,-1,0,unknown,21190,no
45,services,married,secondary,no,-406,yes,yes,cellular,21,jul,276,2,-1,0,unknown,15866,no
27,blue-collar,married,secondary,no,0,yes,no,cellular,17,jul,444,6,-1,0,unknown,15247,no
40,blue-collar,married,secondary,no,193,yes,yes,unknown,26,may,258,1,-1,0,unknown,5733,no
45,blue-collar,married,primary,no,678,no,no,cellular,5,aug,104,3,-1,0,unknown,19096,no
47,blue-collar,married,primary,no,362,yes,no,cellular,18,aug,111,8,-1,0,unknown,21313,no
35,technician,single,tertiary,no,576,no,no,cellular,28,aug,8,13,-1,0,unknown,23762,no
31,management,single,tertiary,no,1073,yes,no,telephone,29,jan,82,1,-1,0,unknown,28230,no
32,technician,single,secondary,no,2979,no,no,cellular,25,may,156,1,-1,0,unknown,39444,no
36,unemployed,married,secondary,no,439,yes,no,telephone,6,feb,18,6,-1,0,unknown,30579,no
46,blue-collar,married,primary,no,-175,yes,yes,cellular,17,apr,250,1,324,2,failure,32600,no
41,blue-collar,married,secondary,no,795,yes,no,unknown,2,jun,147,1,-1,0,unknown,8188,no
55,services,divorced,secondary,no,72,yes,yes,unknown,15,may,384,4,-1,0,unknown,3506,no
36,blue-collar,single,secondary,no,-175,yes,no,unknown,15,may,180,2,-1,0,unknown,3251,no
26,technician,married,tertiary,no,3825,yes,no,unknown,13,may,107,1,-1,0,unknown,2434,no
50,blue-collar,married,primary,no,157,no,no,cellular,27,aug,50,4,-1,0,unknown,23287,no
43,blue-collar,single,secondary,no,24,no,no,cellular,12,may,68,1,363,1,failure,36647,no
42,housemaid,married,primary,no,-209,no,yes,cellular,11,aug,90,2,-1,0,unknown,20215,no
31,blue-collar,single,secondary,no,545,yes,no,cellular,18,nov,195,2,-1,0,unknown,25159,no
30,technician,single,secondary,no,656,no,yes,unknown,4,jul,523,1,-1,0,unknown,12599,no
29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,40066,yes
34,technician,single,secondary,no,486,yes,no,cellular,16,apr,204,1,328,2,failure,32222,no
35,blue-collar,single,secondary,no,406,yes,no,unknown,11,jun,126,12,-1,0,unknown,10042,no
60,management,married,tertiary,no,5041,no,no,telephone,4,nov,399,1,-1,0,unknown,24121,yes
29,management,married,tertiary,no,1713,yes,no,cellular,4,feb,227,2,-1,0,unknown,29820,no
27,blue-collar,married,primary,no,1535,yes,no,cellular,15,may,238,1,-1,0,unknown,38170,no
42,blue-collar,married,secondary,no,54,yes,no,unknown,28,may,268,1,-1,0,unknown,6715,no
41,technician,married,secondary,no,-329,no,no,telephone,5,feb,13,8,238,9,other,30159,no
33,blue-collar,married,secondary,no,-208,yes,yes,cellular,4,may,306,3,360,1,failure,34278,no
26,management,single,tertiary,no,1592,no,no,cellular,6,oct,604,2,485,5,other,44943,no
47,self-employed,married,secondary,no,1121,no,no,unknown,20,jun,454,6,-1,0,unknown,11850,no
40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,-1,0,unknown,39836,yes
40,technician,married,secondary,no,0,no,no,cellular,15,apr,431,2,-1,0,unknown,32102,no
48,blue-collar,married,secondary,no,558,yes,no,telephone,5,feb,708,8,-1,0,unknown,30178,no
35,technician,single,secondary,no,353,yes,no,cellular,20,apr,8,3,-1,0,unknown,33556,no
36,blue-collar,divorced,secondary,no,107,yes,no,cellular,31,jul,134,2,-1,0,unknown,18606,no
37,services,divorced,secondary,no,904,yes,no,unknown,12,may,507,1,-1,0,unknown,2190,no
30,admin.,divorced,secondary,no,1320,yes,yes,cellular,5,may,122,3,362,1,failure,34408,no
34,technician,divorced,tertiary,no,1317,yes,no,cellular,15,may,239,1,-1,0,unknown,38159,no
38,unknown,married,unknown,no,653,no,no,telephone,29,aug,17,18,-1,0,unknown,23945,no
27,technician,married,secondary,no,267,yes,no,cellular,18,may,166,4,-1,0,unknown,39159,no
44,blue-collar,single,primary,no,97,yes,no,unknown,23,may,95,14,-1,0,unknown,5566,no
37,management,married,tertiary,no,5432,yes,yes,unknown,20,may,774,1,-1,0,unknown,4511,no
66,retired,married,primary,no,206,no,no,cellular,9,feb,479,1,-1,0,unknown,30908,yes
34,technician,married,secondary,no,966,yes,no,cellular,18,may,16,4,273,7,other,39164,no
30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,670,2,286,6,failure,34671,yes
55,entrepreneur,married,secondary,no,204,no,no,cellular,14,jul,455,13,-1,0,unknown,14454,no
49,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,10320,no
30,blue-collar,single,secondary,no,297,yes,no,cellular,25,jul,218,1,-1,0,unknown,16919,no
55,services,married,secondary,no,761,yes,no,telephone,11,may,28,1,-1,0,unknown,36158,no
54,retired,divorced,tertiary,no,185,yes,no,telephone,13,may,413,6,-1,0,unknown,36992,no
34,blue-collar,married,secondary,no,1682,yes,yes,cellular,28,jul,123,3,-1,0,unknown,17468,no
32,management,single,tertiary,no,769,no,no,cellular,29,aug,695,2,-1,0,unknown,23874,yes
54,admin.,married,secondary,no,19213,no,no,cellular,12,aug,100,6,-1,0,unknown,20504,no
27,management,married,tertiary,no,1531,yes,no,cellular,15,may,187,1,367,4,failure,38269,no
58,entrepreneur,married,tertiary,no,2920,yes,no,unknown,9,jun,136,1,-1,0,unknown,9784,no
45,admin.,single,secondary,no,341,yes,yes,cellular,5,may,77,2,-1,0,unknown,34674,no
60,blue-collar,married,primary,no,109,no,no,unknown,27,jun,349,5,-1,0,unknown,12398,no
55,blue-collar,married,secondary,no,4577,no,no,cellular,15,jun,24,1,-1,0,unknown,40269,no
45,blue-collar,married,primary,no,751,no,no,cellular,28,aug,151,4,-1,0,unknown,23551,no
45,management,divorced,tertiary,yes,-946,yes,no,cellular,13,may,213,1,-1,0,unknown,37291,no
32,admin.,married,secondary,no,413,yes,no,cellular,20,apr,95,3,341,2,failure,33075,no
37,services,married,secondary,no,-601,yes,no,cellular,11,jul,210,2,-1,0,unknown,14172,no
44,management,single,secondary,no,3684,yes,no,cellular,17,nov,35,3,-1,0,unknown,24658,no
30,unemployed,married,secondary,yes,19,no,no,cellular,19,nov,186,5,-1,0,unknown,26100,no
40,blue-collar,married,primary,no,-166,yes,no,unknown,13,may,136,1,-1,0,unknown,2431,no
32,technician,single,secondary,no,-22,yes,no,cellular,20,aug,215,2,-1,0,unknown,21915,no
51,blue-collar,married,primary,no,5131,yes,no,cellular,9,apr,348,1,329,2,failure,31899,no
35,blue-collar,single,secondary,no,773,yes,no,unknown,23,may,136,2,-1,0,unknown,5213,no
27,management,single,tertiary,no,20585,no,no,cellular,15,jun,188,1,-1,0,unknown,40279,yes
32,blue-collar,married,primary,no,77,yes,no,cellular,17,apr,464,2,-1,0,unknown,32985,no
37,services,divorced,primary,no,260,yes,no,cellular,17,apr,446,2,-1,0,unknown,33003,no
31,blue-collar,single,secondary,no,334,yes,yes,unknown,2,jun,425,2,-1,0,unknown,8100,no
36,blue-collar,married,primary,no,1548,yes,yes,cellular,18,may,226,2,-1,0,unknown,39346,no
48,services,married,secondary,no,485,yes,no,cellular,21,nov,254,5,-1,0,unknown,26896,no
53,retired,single,primary,no,0,no,no,unknown,9,jun,114,1,-1,0,unknown,9788,no
30,blue-collar,married,primary,no,554,yes,no,unknown,27,may,89,5,-1,0,unknown,6473,no
33,technician,single,tertiary,no,196,yes,no,cellular,12,may,183,5,-1,0,unknown,36723,no
33,services,married,secondary,no,3444,yes,no,cellular,22,jul,487,4,-1,0,unknown,16091,no
36,management,divorced,tertiary,no,8119,no,yes,cellular,8,aug,118,2,-1,0,unknown,19813,no
38,blue-collar,married,secondary,no,924,yes,no,unknown,21,may,108,2,-1,0,unknown,5112,no
40,blue-collar,married,secondary,no,125,yes,no,cellular,13,may,119,2,370,1,failure,37386,no
35,technician,married,secondary,no,114,yes,yes,cellular,9,sep,105,3,97,4,failure,41514,no
52,management,married,secondary,no,4873,no,no,cellular,8,jul,99,9,-1,0,unknown,13359,no
32,blue-collar,single,secondary,no,395,yes,yes,cellular,20,apr,339,1,-1,0,unknown,33118,no
53,management,divorced,secondary,no,2215,yes,yes,cellular,31,jul,88,14,-1,0,unknown,18609,no
37,management,married,tertiary,no,308,yes,no,unknown,7,may,96,3,-1,0,unknown,1031,no
58,services,married,secondary,no,0,no,no,telephone,29,jul,50,2,-1,0,unknown,17548,no
33,management,single,tertiary,no,729,yes,yes,unknown,18,jun,178,5,-1,0,unknown,11132,no
57,unknown,married,primary,no,270,no,no,cellular,14,aug,526,2,-1,0,unknown,20983,no
51,technician,married,tertiary,no,1537,no,yes,cellular,14,jul,400,3,-1,0,unknown,14505,no
36,services,married,tertiary,no,562,no,no,cellular,25,may,90,1,-1,0,unknown,39468,no
35,blue-collar,single,secondary,no,219,yes,yes,unknown,29,may,161,1,-1,0,unknown,7316,no
23,student,single,tertiary,no,508,no,no,cellular,8,sep,210,1,92,1,failure,44733,no
32,blue-collar,married,secondary,no,316,yes,no,cellular,9,feb,14,4,-1,0,unknown,31000,no
45,services,married,primary,no,116,yes,no,unknown,11,jun,287,3,-1,0,unknown,10230,no
33,blue-collar,married,secondary,no,931,yes,no,cellular,5,may,272,2,336,1,failure,34423,no
34,technician,single,secondary,no,1313,no,no,cellular,12,aug,176,1,21,6,failure,44529,no
27,blue-collar,single,secondary,no,153,yes,no,cellular,20,apr,198,3,346,1,failure,33599,no
35,blue-collar,married,secondary,no,2200,yes,no,cellular,17,apr,14,1,-1,0,unknown,32778,no
51,admin.,married,secondary,no,42,yes,no,cellular,13,may,80,2,-1,0,unknown,37302,no
30,admin.,divorced,secondary,no,1,yes,no,unknown,8,may,175,5,-1,0,unknown,1168,no
31,management,single,tertiary,no,4509,yes,no,unknown,12,may,207,3,-1,0,unknown,2109,no
24,student,single,secondary,no,689,no,no,cellular,8,sep,630,1,-1,0,unknown,44734,yes
32,management,single,tertiary,no,1756,yes,no,unknown,21,may,206,3,-1,0,unknown,5125,no
78,retired,divorced,unknown,no,0,no,no,telephone,8,oct,259,1,-1,0,unknown,41734,no
46,blue-collar,married,secondary,no,78,yes,yes,unknown,7,may,145,1,-1,0,unknown,1115,no
34,blue-collar,married,secondary,no,1221,yes,no,cellular,6,may,182,1,90,8,failure,43647,no
47,housemaid,married,secondary,no,2524,no,no,cellular,12,oct,105,1,-1,0,unknown,41750,yes
36,management,married,tertiary,no,0,yes,no,cellular,18,nov,103,1,175,2,failure,24955,no
55,management,divorced,tertiary,no,347,yes,no,cellular,2,feb,115,1,-1,0,unknown,28986,no
45,blue-collar,married,secondary,no,603,no,no,cellular,22,may,204,1,-1,0,unknown,39373,no
